Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2020-04-14,251.34841918945312,253.736468277245,248.09622152896114,249.9546201920994,4778900
2020-04-15,261.7368469238281,262.9540957145823,251.515654822776,256.7656250942068,7841800
2020-04-16,277.3009948730469,278.7598448668436,260.18515627809666,263.37230369874726,7738900
2020-04-17,269.9881286621094,282.476568704988,266.7731072345467,279.67966992090163,5857500
2020-04-20,262.16424560546875,268.5478388347204,261.3558185750812,265.1004897840971,4072600
2020-04-21,254.77716064453125,260.1758063579048,253.9037110260624,255.48336119314325,3977500
2020-04-22,257.4067077636719,263.7252782476385,257.11865832992345,259.7854550367004,3663300
2020-04-23,265.1283264160156,268.03672369392973,258.81908590324105,259.3022591532935,4420500
2020-04-24,270.66650390625,271.2333019346691,263.8926322717329,266.94970626862,3265000
2020-04-27,273.1660461425781,275.84211655873867,270.0532225231062,272.45054446578587,3706200
2020-04-28,267.94384765625,277.1336406680933,265.3978511129227,276.90134088547126,3862900
2020-04-29,267.2841796875,272.0231019079189,265.84393207908744,271.32620241541355,4258400
2020-04-30,271.762939453125,274.1138127126211,265.304992522723,266.3549923424234,7631700
2020-05-01,264.3664245605469,268.53851912253197,259.80405392971966,267.9717213267014,3526100
2020-05-04,267.1819763183594,267.5536503692812,262.1364025368255,264.3479014216419,2894200
2020-05-05,272.29254150390625,275.042963195931,266.9496461039853,269.43059208807944,2501300
2020-05-06,268.32489013671875,276.6040598728788,268.01826682363765,274.20673799077485,2579200
2020-05-07,264.8217468261719,271.59561629018566,264.37572104408355,270.4526911743443,3162300
2020-05-08,266.68017578125,269.4677734375,265.43505223095417,268.9938727617264,3200000
2020-05-11,268.2505187988281,269.5606930711286,265.0633723546375,265.3421207713359,3490700
2020-05-12,267.33062744140625,272.39474618582,267.33062744140625,271.1124467226938,4214300
2020-05-13,258.3174133300781,266.1226820183094,256.05016469992296,264.34790789799615,5474100
2020-05-14,270.0345458984375,271.7442972538713,256.1244621274308,256.39390945849743,5704600
2020-05-15,270.35980224609375,278.7597712943655,270.13680350326956,271.7071524834473,12182800
2020-05-18,272.58990478515625,278.4996273334564,271.34478107232155,277.3474292260092,4015100
2020-05-19,268.5851135253906,273.7700627965968,268.427165484741,270.15546300386353,3059400
2020-05-20,267.6000671386719,272.1624385897153,266.4014205938956,272.1624385897153,3200600
2020-05-21,266.5965881347656,269.5886111673268,264.75676321863585,265.7881892397266,3604900
2020-05-22,269.412109375,269.6908578864504,264.62673754897673,266.9590090465616,2922800
2020-05-26,274.0115966796875,276.00006844691586,271.7907967292824,275.50759394951194,4567800
2020-05-27,282.26287841796875,282.29075326439727,270.2111616255128,276.3624851875832,5618900
2020-05-28,282.4486389160156,287.73578382686196,281.816790361961,284.28846326013263,4387700
2020-05-29,283.26641845703125,286.5371898559085,279.5496211759337,283.1456180082895,6251500
