Price,Close,High,Low,Open,Volume
Ticker,HD,HD,HD,HD,HD
Date,,,,,
2020-02-25,209.10765075683594,217.55546255114837,208.31483419163374,216.78908530208392,8061500
2020-02-26,207.2577667236328,212.3317364789075,206.4121118184749,210.6228049376468,6963000
2020-02-27,197.9642791748047,206.8525535955626,197.82334565661947,203.54918483741267,7612800
2020-02-28,191.89488220214844,194.73137579985845,187.0411374142366,192.59079938547106,11809600
2020-03-02,202.5537567138672,202.606608461096,192.46747389398348,193.7800037549699,7150800
2020-03-03,200.79196166992188,207.7334446103514,198.70423698960587,202.63303590030358,8432500
2020-03-04,212.36700439453125,212.57842486588666,204.19226768233696,205.2581473019912,6770000
2020-03-05,206.84375,211.07206498471132,205.38145543820752,208.4205656544156,6473900
2020-03-06,201.29405212402344,202.86204991700296,195.77963397669185,200.46601906865527,7399900
2020-03-09,185.39385986328125,190.43258571148849,182.56617044065388,188.397712814023,10120500
2020-03-10,198.81874084472656,198.93326192338822,185.8695387038818,191.3399229847088,7206600
2020-03-11,188.78912353515625,194.34043585451698,186.66969147486745,192.6998789888807,7253900
2020-03-12,169.01365661621094,183.19346326735194,163.9146034433451,173.2879998579143,10928700
2020-03-13,182.386474609375,182.519501503103,168.4904482145985,177.75742016012754,10292300
2020-03-16,146.2852020263672,165.03198279557552,144.64463155117184,161.36952781216817,12536600
2020-03-17,153.9825439453125,154.99348616329914,137.71878385557093,149.16727045556232,16234400
2020-03-18,138.0114288330078,143.95293190434657,124.70955022641179,141.70934946187703,14681900
2020-03-19,142.8887939453125,144.46728256375968,125.92445928982096,135.82106088716986,13499100
2020-03-20,134.9253692626953,150.9497038575333,134.62386329307256,144.35197058778988,12602400
2020-03-23,144.0061492919922,146.25859497053324,129.77313528684712,133.0720025395624,12241600
2020-03-24,163.8082275390625,164.650677275045,152.53709469990343,153.76087205132666,14676600
2020-03-25,161.1832733154297,169.86497264832215,159.6225246127314,163.5421427600131,11497400
2020-03-26,173.1106414794922,175.76214042774413,161.83951121068768,162.71744000580858,10170300
2020-03-27,168.97817993164062,174.1481777413083,165.38667044099142,167.15139099152057,7121700
2020-03-30,173.89993286132812,175.7621881165094,166.37106320655522,168.99597372562408,6936700
2020-03-31,165.5729217529297,173.35895355947972,164.45555529783942,172.74706498290564,7335400
2020-04-01,158.4076385498047,162.07007982895004,155.18857968123544,155.99556354310673,7858200
2020-04-02,160.78424072265625,162.0346205763935,154.30179395761706,155.1442435746747,6353900
2020-04-03,158.4697265625,160.81973346454788,155.13539353759586,159.23236821831082,7299800
2020-04-06,169.66990661621094,170.6276435527432,164.17179919363366,166.71688777807933,7454000
2020-04-07,170.52122497558594,181.00311274156536,170.13104786823226,179.9478281135682,6438800
2020-04-08,172.7648162841797,174.49405790132593,169.85612620412854,172.22387264688047,6094700
2020-04-09,178.7151641845703,182.67026187206628,174.2546021683184,177.1810180407779,7125100
2020-04-13,176.285400390625,177.7574785641156,173.25257295006094,177.7574785641156,4415600
2020-04-14,183.71669006347656,185.98687533254187,177.473680573547,179.02556651481586,5655400
2020-04-15,176.0104522705078,179.34479846979764,174.3521557499273,176.17894489628517,5693900
2020-04-16,177.22540283203125,179.31823268481972,174.53842390863153,176.57803487019692,7262800
2020-04-17,185.7119598388672,186.44799874662547,182.82102308869096,183.71667804490806,6717600
2020-04-20,182.72344970703125,187.13966900033375,182.11156121136182,182.79439467347962,4753100
2020-04-21,177.8993377685547,181.20706803020593,176.92386118831732,178.02348810318747,4845000
2020-04-22,181.05630493164062,182.4219720678865,178.36932649285492,179.0344204337696,4067700
2020-04-23,179.41575622558594,183.5393334358475,179.30046894050076,180.3025481874806,3565500
2020-04-24,188.15948486328125,188.82457873885272,180.77252079287268,181.55288840554525,5025200
2020-04-27,193.10780334472656,195.92780868250406,189.78233364960315,190.69572824335407,5472800
2020-04-28,192.99252319335938,198.83647849616491,192.3540319505704,198.63252015041496,5080700
2020-04-29,196.6993408203125,198.79217058227604,194.93463331547144,196.28254747774628,4381100
2020-04-30,194.9434814453125,196.9653660653599,192.00820217372495,192.24762626433488,5152700
2020-05-01,193.8260955810547,194.82816114143452,191.34307576611633,192.22986759063937,3819300
2020-05-04,196.7259521484375,197.4531281504598,190.84652984835026,192.1501017595304,4090900
2020-05-05,200.0691375732422,202.94234843710564,198.29555362721155,199.4749885750865,4655200
2020-05-06,198.5704345703125,202.57873762489297,198.46402387559527,201.62986382576395,3321100
2020-05-07,203.4744110107422,205.40762450555647,200.78743247432595,200.8672405026065,4501300
2020-05-08,207.89060974121094,208.88382582811442,204.98193351597425,206.3564636085308,4365200
2020-05-11,209.7794952392578,211.7393113438196,205.070632290916,205.53176787987834,4378300
2020-05-12,206.53384399414062,212.16497840511124,206.53384399414062,211.5619663617559,4399600
2020-05-13,204.0508270263672,209.54893424623674,202.66742025924395,206.65798391531604,6237200
2020-05-14,207.9349822998047,208.09461189452796,200.5923456954605,200.74309871019406,6434500
2020-05-15,212.2359161376953,215.69439928322285,206.35648125892735,206.4362892858154,16176300
2020-05-18,217.57440185546875,220.2081749267107,216.4126930799458,218.0089212339365,8314800
2020-05-19,211.14515686035156,215.01157008666488,210.87911658400463,213.22910970709975,9387000
2020-05-20,211.22496032714844,214.8430728258509,208.35174976105142,214.6036352291669,7534200
2020-05-21,213.6104736328125,213.8765004230863,209.09669180815578,210.71952288569037,4772700
2020-05-22,214.49722290039062,214.90513958502922,211.64175198243973,213.45080145233257,3041800
2020-05-26,215.02931213378906,220.11950289008598,214.66573771155979,220.05742095740567,4535200
2020-05-27,219.35684204101562,219.3834447151562,213.52174979197457,215.21552554623267,4664800
2020-05-28,217.38819885253906,223.6755511312477,216.75857055407658,221.27235229469716,5259300
2020-05-29,220.35006713867188,221.44083101535793,217.02459721764018,217.31724019445556,5341600
2020-06-01,219.29478454589844,221.5029014651694,218.0355415479251,221.17479275996683,3407800
2020-06-02,224.10118103027344,224.11004407774385,219.0375934624203,220.48306855093546,5301000
2020-06-03,223.9138641357422,225.54638517704473,223.369690455308,224.6275365446644,4638100
2020-06-04,222.0850830078125,224.95760458705072,220.7647978982286,222.81660097085148,4759400
2020-06-05,227.3929901123047,228.24048372381003,223.36076633158928,225.10924937684888,5054300
2020-06-08,229.06117248535156,229.09686358867887,225.0378649578378,225.2430547715509,3811900
2020-06-09,229.0522918701172,230.41718404034387,226.4652311200181,227.77660024234083,3716100
2020-06-10,226.99154663085938,231.30925828823106,226.78637042123577,229.66782138690596,3589800
2020-06-11,213.6280975341797,223.57486318950865,212.9768777668297,222.0047948041185,6563700
2020-06-12,216.28651428222656,219.80133962783026,211.469249395788,216.83961753950322,5238500
2020-06-15,215.31414794921875,216.08134341733856,209.02493102723503,211.97773721815463,6250900
2020-06-16,222.97714233398438,224.49368750751376,216.6611647573379,222.48649176285704,5291600
2020-06-17,223.78004455566406,227.14320297275302,223.09313370771991,225.49285007824426,4234000
2020-06-18,222.31700134277344,224.58289627311694,220.4614587986954,222.45080894434543,3347800
2020-06-19,220.03326416015625,226.85773822033536,219.79241045881565,225.78723648898415,11114600
2020-06-22,222.27243041992188,223.07530338425994,219.01630425973042,219.18580299073204,3815200
2020-06-23,223.29827880859375,226.0905152746219,223.13770969392746,225.69799484477136,3105300
2020-06-24,219.56939697265625,223.28046887372403,216.53629273865462,221.06809673059675,3873000
2020-06-25,218.90032958984375,219.76565513670676,216.06348562895053,218.3829174557898,2938400
2020-06-26,215.00189208984375,219.54262545770555,214.3239108414645,218.87356017932427,5002700
2020-06-29,219.5604705810547,219.8994680316831,214.40420828169906,216.47385686760296,3468300
2020-06-30,223.47674560546875,224.49372440542598,219.53372206134793,220.34552462953533,4524600
2020-07-01,221.3713836669922,223.31614040586265,220.28303643771469,222.7095141673661,3677300
2020-07-02,221.68362426757812,225.07355766291627,221.16621216299046,224.75240579152282,3369800
2020-07-06,222.62030029296875,224.35986711676884,220.3811533447484,223.26260398362825,3133800
2020-07-07,220.65773010253906,223.7175820509133,220.4079468256174,220.6755620421994,2927800
2020-07-08,222.28135681152344,222.8344464967893,219.6497024026306,221.12164077697935,2294000
2020-07-09,221.201904296875,223.4767153166592,219.76564364481,222.71844951412038,2994700
2020-07-10,223.11988830566406,223.31614854184255,220.02434521304707,221.49628337221793,2745300
2020-07-13,222.68276977539062,230.03355851109015,222.20996471786307,224.73457275622488,4437500
2020-07-14,229.9711456298828,230.31904544903182,221.6479711906273,222.1296922446951,4614200
2020-07-15,229.98004150390625,233.09344396856517,227.6160161541921,232.06754925729348,4343700
